standar,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGO,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.3,Consultorio odontológico con una unidad odontológica: Ambiente con mínimo 10 m2 (sin incluir la unidad sanitaria) que cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.3.1,"• Área para entrevista, si la requiere.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.3.2,• Área para unidad odontológica.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.3.3,• Lavamanos. No se exige adicional si el consultorio cuenta con unidad sanitaria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.3.4,• Área con mesón de trabajo con poceta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.4,Consultorio odontológico con más de una unidad odontológica: Ambiente con mínimo 10 m2 (sin incluir la unidad sanitaria) que cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.4.1,"• Área adicional por cada unidad odontológica que permita la instalación y movilización de talento humano, pacientes, usuarios y equipos biomédicos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.4.2,• Barrera física fija o móvil entre las unidades odontológicas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.4.3,• Mínimo un lavamanos por cada tres unidades odontológicas o fracción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.4.4,"• Para dos unidades odontológicas, área con mesón de trabajo con poceta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.4.5,"• A partir de tres unidades odontológicas, adicional a lo mencionado en los numerales 28.4.1, 28.4.2 y 28.4.3, tiene disponibilidad de un ambiente con mesón de trabajo y poceta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,29,,"Consultorio donde se realiza únicamente entrevista, no se realiza examen físico ni procedimientos: Ambiente con mínimo 4 m2 (sin incluir la unidad sanitaria), cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,29,29.1,"• Área para entrevista, según el tipo de consulta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,29,29.2,• Lavamanos. No se exige adicional si el consultorio cuenta con unidad sanitaria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,,"Sala de procedimientos: Es el ambiente donde se realizan procedimientos derivados de los servicios de salud. Para efectos del presente manual, se definen los siguientes tipos de sala:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.1,"Sala de procedimientos o curaciones. Ambiente con mínimo 8 m2, que cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.1.1,• Mesón de trabajo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.1.2,"• Poceta, cuando la requiera, según los procedimientos que el prestador documente en el estándar de procesos prioritarios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.1.3,• Lavamanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.2,"Sala de procedimientos de Litotricia: Ambiente con dimensión variable acorde con la tecnología utilizada, que cuenta con mesón de trabajo con poceta y disponibilidad de:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.2.1,• Vestidor para pacientes con área para casilleros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.2.2,• Área de recuperación.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.2.3,• Unidad sanitaria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.3,"Sala de procedimientos endoscópicos: Ambiente con dimensión variable acorde con el tipo de tecnología utilizada y los procedimientos que se realicen, cuenta con:
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.3.1,• Área de procedimientos endoscópicos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.3.2,"• Área de recuperación, que puede ser la misma área donde se realice el procedimiento endoscópico.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.3.3,• Lavamanos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.3.4,• Unidad sanitaria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.3.5,• Vestidor para pacientes con área para casilleros que puede ser la misma unidad sanitaria con casilleros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.3.6,• Ambiente o área para almacenar materiales e insumos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.3.7,• Área de limpieza y desinfección de endoscopios con mesón de trabajo con poceta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.3.8,• Ambiente o área para almacenamiento de equipos biomédicos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.4,"Si se realiza procedimiento de monitorización electroencefalográfica con video y radio, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.4.1,• Ambiente con dimensión variable acorde con el tipo de tecnología utilizada. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.4.2,"Disponibilidad de:
• Unidad sanitaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,30,30.5,"Si se realiza procedimientos terapéuticos con láser de argón o yag láser, cuenta con aambiente con dimensión variable acorde con el tipo de tecnología utilizada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,31,,Sistema de alarma cuando se cuente con red de distribución de gases medicinales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,32,,"Puesto de enfermería: Área con dimensión variable que, de acuerdo con las necesidades de cada servicio, cumple con las siguientes características:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,32,32.1,• Superficie de trabajo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,32,32.2,• Permite la monitorización permanente de los pacientes o sistemas alternativos para su visualización.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,32,32.3,"• Cuenta con alarma o sistema de llamado a enfermería, donde se requiera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,33,,"Ambiente o área de trabajo limpio, que cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,33,33.1,• Mesón de trabajo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,33,33.2,• Área para el almacenamiento y alistamiento de medicamentos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,33,33.3,• Lavamanos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,34,,"Ambiente de trabajo sucio, que cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,34,34.1,• Mesón de trabajo con poceta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,34,34.2,• Lavamanos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,35,,"Estación de enfermería, que cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,35,35.1,• Puesto de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,35,35.2,• Ambiente o área de trabajo limpio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,35,35.3,• Ambiente de trabajo sucio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,35,,Disponibilidad de los siguientes ambientes o áreas:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,35,35.4,• Área o ambiente para el depósito de equipos biomédicos con dimensión variable de acuerdo con las necesidades del servicio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,35,35.5,• Área o ambiente para depósito de ropa limpia de dimensión variable de acuerdo con las necesidades del servicio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,35,35.6,"• Ambiente para depósito de ropa sucia, con dimensión variable de acuerdo con las necesidades del servicio.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,35,35.7,• Lavapatos cuando el servicio de salud lo requiera.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,35,35.8,• Unidad Sanitaria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,36,,"Baño, ambiente que cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,36,36.1,• Sanitario.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,36,36.2,• Lavamanos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,36,36.3,• Ducha.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,36,36.4,"• Alarma o sistema de llamado, donde se requiera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,36,36.5,• Puertas corredizas o con apertura hacia el exterior.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,37,,"Unidad sanitaria, ambiente que cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,37,37.1,• Sanitario.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,37,37.2,• Lavamanos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,38,,La unidad sanitaria adaptada para personas con movilidad reducida cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,38,38.1,• Sanitario.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,38,38.2,• Lavamanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,38,38.3,"• Dimensiones que permita el desplazamiento del paciente y maniobra en su interior, las puertas tienen un ancho que permite el fácil acceso de pacientes en sillas de ruedas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,38,38.4,• Puertas corredizas o con apertura hacia el exterior.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,38,38.5,"• Accesorios que facilite la accesibilidad, movilidad y seguridad del usuario.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,38,38.6,• Alarma o sistema de llamado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,39,,"Batería sanitaria, ambiente que cuenta con sanitarios en serie y lavamanos, discriminadas por sexo, serán separadas con barreras físicas fijas o divisiones en materiales resistentes, inoxidables e impermeables, con espacios libres que faciliten la ventilación y las labores de aseo. Se instalará adicionalmente un orinal para sexo masculino. Como mínimo uno de los sanitarios de la batería debe ser apto para personas con movilidad reducida discriminado por sexo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,40,,Salas de espera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,40,40.1,"• Ambiente o área con dimensión variable de acuerdo al servicio o servicios, independiente de las áreas de circulación, que cuenta con ventilación e iluminación natural y/o artificial.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,40,40.2,• Disponibilidad de unidades sanitarias discriminadas por sexo o baterías sanitarias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,"Generalidades de las condiciones de orden, aseo, limpieza y desinfección",11.1.2,41,,"Las condiciones de orden, aseo, limpieza y desinfección son evidentes y responden a un proceso dinámico de acuerdo con los servicios prestados",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,"Generalidades de las condiciones de orden, aseo, limpieza y desinfección",11.1.2,42,,"En las edificaciones destinadas a la prestación de servicios de salud, los pisos deben ser resistentes a factores ambientales, deben ser continuos, antideslizantes, impermeables, lavables, sólidos, resistentes a procesos de lavado y desinfección. Cuando se tengan dilataciones y juntas, estas deben ser selladas de manera que ofrezcan continuidad de la superficie.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,"Generalidades de las condiciones de orden, aseo, limpieza y desinfección",11.1.2,43,,"Los cielo rasos o techos y paredes o muros deben ser impermeables, lavables, sólidos, resistentes a factores ambientales e incombustibles y de superficie lisa y continua",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,"Generalidades de las condiciones de orden, aseo, limpieza y desinfección",11.1.2,44,,"En los servicios de cirugía, atención del parto, ambiente TPR, salas de procedimientos, consultorios donde se realicen procedimientos, servicios de internación en cuidado básico, intermedio e intensivo, urgencias, diálisis, hemodinamía e intervencionismo, laboratorios, gestión pre transfusional, quimioterapia, consulta odontológica y los ambientes o áreas donde se requieran procesos de limpieza y asepsia más profundos, adicional al criterio anterior, la unión entre paredes o muros y el piso debe ser en media caña evitando la formación de aristas o de esquinas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,"Generalidades de las condiciones de orden, aseo, limpieza y desinfección",11.1.2,45,,"En los servicios de cirugía, atención del parto, ambiente TPR y el ambiente de esterilización, la unión entre cielo raso o techo y la pared o muro y la unión entre paredes o muros, debe contar con media caña, evitando la formación de aristas o de esquinas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,modalityes extramural y telemedicina,11.1.2,46,,"Cuando un prestador de servicios de salud preste sus servicios exclusivamente en la modality extramural, la sede cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,modalityes extramural y telemedicina,11.1.2,46,46.1,"• Ambiente o área para el almacenamiento de medicamentos o dispositivos médicos e insumos, cuando se requiera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,modalityes extramural y telemedicina,11.1.2,46,46.2,• Ambiente o área para el almacenamiento de equipos biomédicos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,modalityes extramural y telemedicina,11.1.2,46,46.3,• Ambiente o área para el archivo de las historias clínicas y registros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,modalityes extramural y telemedicina,11.1.2,47,,"Disponibilidad de ambiente o área para las labores de aseo, limpieza y desinfección para las unidades móviles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,modality extramural domiciliaria,11.1.2,48,,El domicilio del paciente cumple con las siguientes condiciones:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,modality extramural domiciliaria,11.1.2,48,48.1,"• Servicios públicos domiciliarios: Acueducto, alcantarillado, energía eléctrica y sistema de comunicación.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,modality extramural domiciliaria,11.1.2,48,48.2,• Unidad sanitaria o baño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,"modality extramural Unidad móvil, terrestre y acuática",11.1.2,49,,"Las condiciones de orden, aseo, limpieza y desinfección son evidentes y responden a un proceso dinámico de acuerdo con los servicios prestados",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,"modality extramural Unidad móvil, terrestre y acuática",11.1.2,50,,La unidad móvil cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,"modality extramural Unidad móvil, terrestre y acuática",11.1.2,50,50.1,"• De acuerdo con los servicios a prestar, los ambientes y áreas cumplen con los criterios del servicio de salud de la modality intramural.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,"modality extramural Unidad móvil, terrestre y acuática",11.1.2,50,50.2,• Suministro de agua potable de manera permanente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,"modality extramural Unidad móvil, terrestre y acuática",11.1.2,50,50.3,• Tanque para el almacenamiento de aguas residuales. Las aguas residuales no se vierten en la vía pública o en el cauce fluvial.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,"modality extramural Unidad móvil, terrestre y acuática",11.1.2,50,50.4,• Identificación visual como unidad móvil terrestre o acuática según aplique.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,"modality extramural Unidad móvil, terrestre y acuática",11.1.2,50,50.5,• Acceso al servicio de energía eléctrica o fuente de energía alternativa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,"modality extramural Unidad móvil, terrestre y acuática",11.1.2,50,50.6,"• Señalización y condiciones que garanticen la seguridad durante el abordaje, incluyendo el ingreso de personas con discapacidad.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,"modality extramural Unidad móvil, terrestre y acuática",11.1.2,50,50.7,"• Estructuras firmes para el ingreso y salida de pacientes y usuarios, con protecciones laterales a espacios libres.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,"modality extramural Unidad móvil, terrestre y acuática",11.1.2,50,50.8,• Señalización de áreas restringidas al interior de la unidad móvil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,"modality extramural Unidad móvil, terrestre y acuática",11.1.2,50,50.9,• Barreras o mecanismos que impidan el ingreso de usuarios a las áreas restringidas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,"modality extramural Unidad móvil, terrestre y acuática",11.1.2,50,50.10,"• Para unidades móviles marítimas o fluviales, las uniones con tierra firme son continuas, sin desniveles y permiten el flujo de camillas y sillas de ruedas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,modality telemedicina - prestador remisor,11.1.2,51,,"Adicional a los criterios del estándar de infraestructura enunciados que le aplique, el prestador de servicios de salud cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,modality telemedicina - prestador remisor,11.1.2,51,51.1,• Conectividad que garantice la prestación de servicios de salud con integridad y continuidad de acuerdo con el método de transferencia de información que utilice (sincrónico o asincrónico).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,modality telemedicina - prestador remisor,11.1.2,51,51.2,"• Plataformas tecnológicas que garanticen la seguridad y privacidad de la información y la disponibilidad permanente para prestar los servicios de salud, cumpliendo con los criterios de seguridad, privacidad y protección de datos personales establecidos en la normatividad o lineamientos que regulen la materia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,modality telemedicina - prestador remisor,11.1.2,51,51.3,• Suministro de energía eléctrica o baterías que permitan el uso de los instrumentos de comunicación y de los equipos biomédicos necesarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,modality telemedicina - prestador de referencia,11.1.2,51,51.4,• Nivel de iluminación homogénea con luz fluorescente blanca fría y no mezclar tipos de iluminación cálida con fría,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,modality telemedicina - prestador de referencia,11.1.2,52,,"Adicional a los criterios del estándar de infraestructura enunciados que le aplique, el prestador de servicios de salud cuenta con",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,modality telemedicina - prestador de referencia,11.1.2,52,52.1,• Conectividad que garantice la prestación de servicios de salud con integridad y continuidad de acuerdo con el método de transferencia de información que utilice (sincrónico o asincrónico).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
